"index","click","Moderate Farmers/Nov-11","Casual Winners/Nov-11","Casual Losers/Nov-11","Forum /Nov-11","Moderate/Nov-11","Hardcore/Nov-11","Casual Winners/Dec-11","Casual Losers/Dec-11","Moderate Farmers/Dec-11","Hardcore/Dec-11","Forum/Dec-11","Moderate/Dec-11","Moderate Losers/Jan-12","Moderate Miscellanea/Jan-12","Casual Losers/Jan-12","Hardcore/Jan-12","Casual Winners/Jan-12","Forum /Jan-12","Moderate Farmers/Jan-12","Moderate Farmers/Feb-12","Moderate Losers/Feb-12","Casual Losers/Feb-12","Hardcore/Feb-12","Casual Winners/Feb-12","Forum /Feb-12","Casual Forum/Feb-12","Casual Forum/Mar-12","Casual Winners/Mar-12","Moderate Miscellanea/Mar-12","Casual Losers/Mar-12","Hardcore/Mar-12","Forum /Mar-12","Moderate Farmers/Mar-12","Casual Winners/Apr-12","Casual Losers/Apr-12","Casual Forum/Apr-12","Moderate Miscellanea/Apr-12","Moderate Farmers/Apr-12","Forum /Apr-12","Hardcore/Apr-12","Hardcore/May-12","Casual Forum/May-12","Casual Winners/May-12","Casual Losers/May-12","Moderate Miscellanea/May-12","Forum /May-12","Moderate Farmers/May-12","Hardcore/Jun-12","Moderate Losers/Jun-12","Moderate Miscellanea/Jun-12","Casual Losers/Jun-12","Moderate Farmers/Jun-12","Forum /Jun-12","Casual Winners/Jun-12","Casual Winners/Jul-12","Moderate Miscellanea/Jul-12","Moderate Farmers/Jul-12","Casual Losers/Jul-12","Forum /Jul-12","Hardcore/Jul-12","Moderate Losers/Jul-12","Hardcore/Aug-12","Casual Losers/Aug-12","Casual Winners/Aug-12","Moderate Losers/Aug-12","Moderate Winners/Aug-12","Moderate Farmers/Aug-12","Casual Winners/Sep-12","Moderate Farmers/Sep-12","Hardcore/Sep-12","Casual Losers/Sep-12","Moderate Losers/Sep-12","Forum /Sep-12","Hardcore/Oct-12","Moderate Farmers/Oct-12","Casual Losers/Oct-12","Forum /Oct-12","Casual Winners/Oct-12","Moderate Miscellanea/Oct-12","Casual/Nov-12","Hardcore/Nov-12","Moderate Farmers/Nov-12","Moderate Miscellanea/Nov-12","Forum /Nov-12","Casual/Dec-12","Moderate Farmers/Dec-12","Moderate Miscellanea/Dec-12","Hardcore/Dec-12","Forum/Dec-12"
"11","Forum/Dec-11","31","31","27","71","52","91","0","0","0","0","392","0","22","36","24","102","27","121","30","46","34","15","57","34","56","36","29","29","34","13","57","35","24","25","17","30","41","29","46","50","57","39","24","20","35","51","16","49","23","29","19","10","62","19","28","20","21","13","44","43","17","40","19","21","14","22","24","14","28","23","14","7","24","22","15","8","23","19","8","15","20","22","7","20","6","5","6","19","7"
"12","Moderate/Dec-11","222","163","70","6","112","194","0","0","0","0","0","1345","93","58","71","80","129","13","136","91","59","37","58","74","5","8","8","52","32","34","45","7","75","67","31","4","38","61","5","50","62","12","69","48","44","14","79","53","33","33","33","34","15","42","38","22","38","28","12","37","28","37","28","23","26","35","22","33","43","37","16","17","8","40","30","9","10","31","14","35","31","26","21","6","22","17","8","4","2"
"13","Moderate Losers/Jan-12","68","50","39","3","60","106","52","79","110","140","22","93","649","0","0","0","0","0","0","59","81","29","53","43","4","8","5","32","28","27","45","4","38","32","35","6","33","26","12","42","57","8","36","28","31","11","43","47","28","17","45","21","12","25","23","17","17","14","9","37","24","29","15","8","15","17","16","15","28","34","5","14","8","26","22","10","8","16","10","15","23","20","12","1","8","6","8","7","2"
"14","Moderate Miscellanea/Jan-12","43","65","44","14","88","87","47","51","183","141","36","58","0","638","0","0","0","0","0","94","90","45","94","85","14","13","10","66","81","55","52","8","38","53","30","15","82","41","11","65","77","10","56","42","57","12","31","52","38","46","27","17","19","30","36","44","18","23","11","48","16","53","23","30","19","23","11","30","32","37","14","21","14","44","20","8","14","23","19","25","48","22","24","5","23","10","8","15","1"
"15","Casual Losers/Jan-12","34","74","63","3","64","37","119","132","107","46","24","71","0","0","801","0","0","0","0","28","60","58","31","75","3","5","4","44","40","49","21","0","25","60","46","6","36","13","3","27","30","14","49","37","45","5","25","17","18","23","33","9","11","37","28","19","9","28","10","15","12","14","22","16","16","15","13","23","17","10","12","12","7","16","20","10","2","19","16","30","17","16","10","2","12","7","3","8","2"
"16","Hardcore/Jan-12","88","70","55","27","132","409","27","33","139","643","102","80","0","0","0","1142","0","0","0","219","76","24","444","56","33","12","12","67","99","34","313","29","111","58","33","6","101","87","39","303","280","18","53","36","89","41","96","222","59","65","31","40","48","47","46","67","54","26","20","168","44","145","29","52","34","49","47","45","64","139","22","32","19","110","53","13","18","35","37","33","113","52","22","11","17","21","17","38","4"
"17","Casual Winners/Jan-12","70","114","69","11","90","78","174","122","145","99","27","129","0","0","0","0","1102","0","0","42","65","63","24","99","1","11","9","69","38","43","28","7","20","70","42","6","47","45","7","25","33","12","67","39","38","11","37","27","24","31","34","22","13","45","37","29","18","23","5","28","15","25","17","26","20","23","18","24","29","21","11","12","8","18","25","9","4","27","14","23","19","14","11","5","7","7","3","10","3"
"18","Forum /Jan-12","18","19","15","39","31","54","21","14","28","47","121","13","0","0","0","0","0","269","0","28","19","12","45","12","72","37","29","22","24","12","41","41","19","18","6","23","37","15","52","36","37","22","10","12","31","51","15","31","15","19","19","10","51","13","21","12","13","8","37","32","12","36","10","18","12","22","11","12","19","18","8","6","19","18","19","7","23","11","8","14","20","16","8","14","9","7","6","13","4"
"19","Moderate Farmers/Jan-12","78","71","36","11","61","139","65","36","101","186","30","136","0","0","0","0","0","0","683","103","35","24","49","65","4","5","4","60","26","22","50","2","59","47","28","4","30","44","7","52","51","6","42","21","49","7","53","43","26","23","23","25","13","34","31","25","17","12","7","44","18","28","9","14","22","27","14","22","28","25","6","14","1","25","30","6","3","27","7","18","18","27","11","9","9","10","6","5","2"
"20","Moderate Farmers/Feb-12","80","67","36","12","74","140","49","35","88","248","46","91","59","94","28","219","42","28","103","716","0","0","0","0","0","0","9","65","67","30","81","7","123","54","20","6","66","73","11","81","79","10","48","24","53","16","77","72","31","34","28","43","13","41","34","36","34","14","8","54","22","50","18","25","16","44","17","23","43","40","8","19","9","39","36","7","6","18","17","13","41","32","14","3","9","14","11","9","0"
