"index","click","Moderate Farmers/Nov-11","Casual Winners/Nov-11","Casual Losers/Nov-11","Forum /Nov-11","Moderate/Nov-11","Hardcore/Nov-11","Casual Winners/Dec-11","Casual Losers/Dec-11","Moderate Farmers/Dec-11","Hardcore/Dec-11","Forum/Dec-11","Moderate/Dec-11","Moderate Losers/Jan-12","Moderate Miscellanea/Jan-12","Casual Losers/Jan-12","Hardcore/Jan-12","Casual Winners/Jan-12","Forum /Jan-12","Moderate Farmers/Jan-12","Moderate Farmers/Feb-12","Moderate Losers/Feb-12","Casual Losers/Feb-12","Hardcore/Feb-12","Casual Winners/Feb-12","Forum /Feb-12","Casual Forum/Feb-12","Casual Forum/Mar-12","Casual Winners/Mar-12","Moderate Miscellanea/Mar-12","Casual Losers/Mar-12","Hardcore/Mar-12","Forum /Mar-12","Moderate Farmers/Mar-12","Casual Winners/Apr-12","Casual Losers/Apr-12","Casual Forum/Apr-12","Moderate Miscellanea/Apr-12","Moderate Farmers/Apr-12","Forum /Apr-12","Hardcore/Apr-12","Hardcore/May-12","Casual Forum/May-12","Casual Winners/May-12","Casual Losers/May-12","Moderate Miscellanea/May-12","Forum /May-12","Moderate Farmers/May-12","Hardcore/Jun-12","Moderate Losers/Jun-12","Moderate Miscellanea/Jun-12","Casual Losers/Jun-12","Moderate Farmers/Jun-12","Forum /Jun-12","Casual Winners/Jun-12","Casual Winners/Jul-12","Moderate Miscellanea/Jul-12","Moderate Farmers/Jul-12","Casual Losers/Jul-12","Forum /Jul-12","Hardcore/Jul-12","Moderate Losers/Jul-12","Hardcore/Aug-12","Casual Losers/Aug-12","Casual Winners/Aug-12","Moderate Losers/Aug-12","Moderate Winners/Aug-12","Moderate Farmers/Aug-12","Casual Winners/Sep-12","Moderate Farmers/Sep-12","Hardcore/Sep-12","Casual Losers/Sep-12","Moderate Losers/Sep-12","Forum /Sep-12","Hardcore/Oct-12","Moderate Farmers/Oct-12","Casual Losers/Oct-12","Forum /Oct-12","Casual Winners/Oct-12","Moderate Miscellanea/Oct-12","Casual/Nov-12","Hardcore/Nov-12","Moderate Farmers/Nov-12","Moderate Miscellanea/Nov-12","Forum /Nov-12","Casual/Dec-12","Moderate Farmers/Dec-12","Moderate Miscellanea/Dec-12","Hardcore/Dec-12","Forum/Dec-12"
"54","Casual Winners/Jun-12","34","60","29","8","38","41","57","44","54","59","19","42","25","30","37","47","45","13","34","41","28","18","40","43","4","9","12","45","42","28","28","8","25","72","38","9","30","38","10","45","35","16","92","51","66","5","45","0","0","0","0","0","0","574","78","32","25","31","7","24","17","17","26","34","25","38","10","30","30","16","11","17","8","15","29","6","10","15","12","16","19","14","10","4","9","7","4","3","0"
"55","Casual Winners/Jul-12","35","52","24","4","34","42","57","54","55","49","28","38","23","36","28","46","37","21","31","34","36","28","37","28","13","10","14","47","28","26","31","9","25","49","34","11","43","25","14","39","44","17","64","28","56","14","31","22","29","56","44","20","15","78","518","0","0","0","0","0","0","17","35","48","20","33","11","38","23","17","12","14","7","12","29","11","4","20","11","19","16","20","16","5","16","6","3","3","1"
"56","Moderate Miscellanea/Jul-12","19","36","23","7","42","59","24","24","53","82","20","22","17","44","19","67","29","12","25","36","34","17","63","23","8","5","2","30","49","19","55","7","17","24","19","9","68","19","8","70","90","13","33","18","78","8","19","83","49","72","22","12","22","32","0","351","0","0","0","0","0","63","20","27","55","48","17","34","51","49","11","18","10","40","31","9","9","31","31","26","44","33","22","7","14","11","15","13","2"
"57","Moderate Farmers/Jul-12","20","27","17","5","17","48","21","20","21","59","21","38","17","18","9","54","18","13","17","34","27","7","34","18","7","5","4","16","14","13","37","0","28","16","19","6","20","26","8","46","55","7","27","16","21","9","42","56","19","22","20","29","8","25","0","0","272","0","0","0","0","15","14","14","8","38","16","9","24","16","8","10","1","9","29","4","2","13","7","5","15","17","3","0","7","3","2","7","0"
"58","Casual Losers/Jul-12","19","21","22","4","25","28","26","24","29","34","13","28","14","23","28","26","23","8","12","14","19","17","26","20","11","1","6","19","22","26","14","4","5","23","15","4","27","8","6","31","22","9","23","21","40","8","21","23","25","30","43","11","10","31","0","0","0","293","0","0","0","11","32","19","16","22","6","21","13","13","11","11","3","10","15","15","4","12","11","19","11","13","0","3","6","3","4","4","1"
"59","Forum /Jul-12","14","11","10","11","7","38","7","2","16","28","44","12","9","11","10","20","5","37","7","8","7","3","19","7","24","18","16","6","8","6","12","23","10","7","6","22","8","8","35","12","20","23","3","3","12","45","7","15","3","7","7","9","71","7","0","0","0","0","136","0","0","46","3","17","11","9","12","5","10","11","5","5","35","8","12","3","32","6","2","7","11","8","1","14","7","6","3","7","6"
"60","Hardcore/Jul-12","38","40","18","18","58","140","24","17","65","201","43","37","37","48","15","168","28","32","44","54","41","17","144","21","21","8","9","40","43","20","152","17","36","30","16","7","63","28","33","161","204","7","11","24","54","50","47","273","35","28","16","25","55","24","0","0","0","0","0","563","0","230","11","24","53","41","76","26","71","164","11","32","19","129","51","7","20","26","33","30","115","41","31","16","22","24","16","44","9"
"61","Moderate Losers/Jul-12","24","26","22","5","27","47","22","24","29","61","17","28","24","16","12","44","15","12","18","22","23","9","35","12","8","3","1","14","25","19","33","6","15","16","17","1","28","22","10","29","58","3","25","19","25","8","24","52","41","30","16","16","8","17","0","0","0","0","0","0","284","28","20","19","29","22","16","15","27","23","9","13","5","20","18","5","2","12","7","11","16","22","5","3","7","2","6","5","1"
"62","Hardcore/Aug-12","35","39","27","16","49","128","32","24","59","171","40","37","29","53","14","145","25","36","28","50","34","15","121","18","26","16","16","26","39","18","128","22","30","30","11","9","50","19","38","138","168","10","19","14","54","49","35","189","38","40","11","17","61","17","17","63","15","11","46","230","28","826","0","0","0","0","0","36","98","352","22","56","44","200","93","9","38","37","57","40","170","48","34","28","33","22","22","51","13"
"63","Casual Losers/Aug-12","14","22","15","2","30","19","25","20","29","32","19","28","15","23","22","29","17","10","9","18","18","23","25","14","9","2","2","17","17","20","16","1","15","19","14","1","25","17","6","25","20","12","31","17","33","8","15","18","19","27","25","12","9","26","35","20","14","32","3","11","20","0","506","0","0","0","0","52","42","29","30","20","5","22","27","16","3","28","24","23","26","16","17","3","14","3","7","6","3"
"64","Casual Winners/Aug-12","20","26","18","3","24","46","22","23","41","53","21","23","8","30","16","52","26","18","14","25","27","7","31","24","7","8","9","28","23","13","23","9","18","29","20","8","24","17","12","32","41","7","31","21","40","13","12","25","18","24","27","14","16","34","48","27","14","19","17","24","19","0","0","737","0","0","0","74","34","30","33","37","9","25","23","20","8","42","24","25","20","29","20","5","14","10","6","6","3"
"65","Moderate Losers/Aug-12","21","24","10","8","26","34","18","23","34","49","14","26","15","19","16","34","20","12","22","16","24","14","37","12","11","6","2","28","32","15","31","6","7","18","18","8","31","14","13","36","52","6","19","19","27","12","19","42","31","35","16","10","14","25","20","55","8","16","11","53","29","0","0","0","608","0","0","50","48","104","29","75","16","59","50","19","10","39","42","30","43","33","24","10","12","9","6","10","3"
"66","Moderate Winners/Aug-12","27","33","19","7","32","40","24","27","38","66","22","35","17","23","15","49","23","22","27","44","24","5","30","22","13","7","4","25","32","16","39","15","20","32","13","7","43","20","10","43","58","12","37","15","44","10","34","52","22","42","18","15","17","38","33","48","38","22","9","41","22","0","0","0","0","542","0","50","81","45","28","41","11","35","49","10","6","39","30","36","29","31","17","5","11","10","12","12","2"
"67","Moderate Farmers/Aug-12","27","16","10","6","17","44","13","21","20","53","24","22","16","11","13","47","18","11","14","17","19","9","34","16","9","3","5","15","12","10","37","7","10","12","15","2","22","14","11","42","51","4","11","10","15","13","30","57","16","13","12","14","17","10","11","17","16","6","12","76","16","0","0","0","0","0","314","13","63","44","7","18","6","29","36","6","8","17","11","14","24","28","7","3","7","10","2","11","1"
"68","Casual Winners/Sep-12","28","33","22","4","32","37","29","32","45","52","14","33","15","30","23","45","24","12","22","23","35","15","35","20","8","7","5","32","30","22","33","6","16","38","17","1","40","17","6","37","39","6","38","18","46","9","23","28","23","42","24","14","13","30","38","34","9","21","5","26","15","36","52","74","50","50","13","1089","0","0","0","0","0","57","58","48","11","115","61","59","35","52","41","6","17","16","10","8","2"
"69","Moderate Farmers/Sep-12","37","43","18","8","35","55","40","24","39","79","28","43","28","32","17","64","29","19","28","43","26","12","48","21","11","6","2","29","32","12","50","6","24","32","24","8","36","29","18","49","63","9","27","23","40","25","39","70","24","35","21","21","24","30","23","51","24","13","10","71","27","98","42","34","48","81","63","0","700","0","0","0","0","105","107","26","10","65","65","44","63","61","38","8","19","31","15","11","4"
"70","Hardcore/Sep-12","32","32","19","8","44","122","30","16","55","157","23","37","34","37","10","139","21","18","25","40","38","14","105","17","18","5","6","28","32","19","110","8","27","22","15","1","48","16","16","128","152","3","18","13","40","21","31","149","31","28","14","16","32","16","17","49","16","13","11","164","23","352","29","30","104","45","44","0","0","1102","0","0","0","434","112","18","26","56","115","61","265","89","65","19","28","32","31","65","6"
"71","Casual Losers/Sep-12","8","18","9","5","17","26","11","15","20","26","14","16","5","14","12","22","11","8","6","8","15","8","13","14","4","4","1","13","13","10","10","4","6","11","11","3","14","13","4","16","18","3","16","9","26","8","10","13","7","13","14","6","6","11","12","11","8","11","5","11","9","22","30","33","29","28","7","0","0","0","547","0","0","45","37","27","5","47","51","44","28","20","25","5","14","5","7","8","1"
"72","Moderate Losers/Sep-12","14","20","13","1","26","32","13","15","28","46","7","17","14","21","12","32","12","6","14","19","16","15","28","19","5","2","5","15","22","7","23","3","8","14","11","2","18","9","8","26","32","2","12","12","18","9","17","28","18","14","12","10","5","17","14","18","10","11","5","32","13","56","20","37","75","41","18","0","0","0","0","607","0","84","54","30","7","50","75","42","58","38","35","5","15","10","6","8","7"
"73","Forum /Sep-12","6","9","7","8","8","28","5","10","11","23","24","8","8","14","7","19","8","19","1","9","9","1","18","4","15","10","10","5","9","10","15","19","5","7","2","12","10","5","20","15","26","12","2","4","11","23","4","21","6","5","1","3","35","8","7","10","1","3","35","19","5","44","5","9","16","11","6","0","0","0","0","0","124","19","6","5","38","10","5","13","20","9","8","17","4","2","5","8","8"
"74","Hardcore/Oct-12","33","30","26","7","47","114","35","23","47","143","22","40","26","44","16","110","18","18","25","39","34","11","102","18","14","6","4","28","27","15","98","9","26","16","17","0","46","17","8","110","134","1","17","10","30","13","35","121","30","25","14","17","19","15","12","40","9","10","8","129","20","200","22","25","59","35","29","57","105","434","45","84","19","1256","0","0","0","0","0","89","510","133","131","30","43","42","44","84","10"
"75","Moderate Farmers/Oct-12","35","29","18","7","37","58","22","25","45","83","15","30","22","20","20","53","25","19","30","36","20","18","46","19","9","8","2","23","19","15","51","7","23","29","15","2","27","26","10","55","56","9","27","16","30","13","42","53","22","23","23","22","18","29","29","31","29","15","12","51","18","93","27","23","50","49","36","58","107","112","37","54","6","0","741","0","0","0","0","68","76","94","39","3","24","24","8","13","4"
"76","Casual Losers/Oct-12","10","11","13","2","8","19","11","16","16","14","8","9","10","8","10","13","9","7","6","7","7","5","13","8","4","1","4","10","13","12","7","2","5","12","6","1","12","5","10","7","9","5","12","10","15","5","9","10","7","12","13","1","5","6","11","9","4","15","3","7","5","9","16","20","19","10","6","48","26","18","27","30","5","0","0","496","0","0","0","70","26","32","44","3","13","10","4","9","1"
"77","Forum /Oct-12","5","13","5","8","6","26","9","4","9","25","23","10","8","14","2","18","4","23","3","6","6","6","15","5","15","10","9","6","10","6","15","14","3","8","0","13","6","2","22","13","18","8","4","3","9","27","4","15","4","6","6","3","32","10","4","9","2","4","32","20","2","38","3","8","10","6","8","11","10","26","5","7","38","0","0","0","128","0","0","9","25","6","13","25","4","4","5","8","7"
"78","Casual Winners/Oct-12","24","30","20","7","25","46","25","26","32","59","19","31","16","23","19","35","27","11","27","18","26","19","29","14","8","6","4","18","26","12","26","4","15","24","13","4","32","14","13","35","38","8","18","17","27","10","24","40","21","26","17","10","13","15","20","31","13","12","6","26","12","37","28","42","39","39","17","115","65","56","47","50","10","0","0","0","0","1226","0","135","67","61","65","6","30","16","11","11","3"
"79","Moderate Miscellanea/Oct-12","9","24","14","2","29","24","18","20","29","42","8","14","10","19","16","37","14","8","7","17","16","10","30","8","7","0","3","13","27","7","22","3","8","17","8","3","27","9","3","30","39","2","21","7","33","8","8","38","14","26","4","3","11","12","11","31","7","11","2","33","7","57","24","24","42","30","11","61","65","115","51","75","5","0","0","0","0","0","783","111","125","76","110","11","36","20","31","21","3"
"80","Casual/Nov-12","19","38","23","4","28","38","23","31","42","48","15","35","15","25","30","33","23","14","18","13","20","16","33","16","6","8","9","24","23","15","28","7","13","21","18","4","29","22","12","32","39","7","21","20","46","10","16","31","16","28","21","7","14","16","19","26","5","19","7","30","11","40","23","25","30","36","14","59","44","61","44","42","13","89","68","70","9","135","111","1430","0","0","0","0","57","25","14","12","0"
"81","Hardcore/Nov-12","32","36","24","8","43","94","32","23","51","141","20","31","23","48","17","113","19","20","18","41","30","17","93","25","12","8","5","27","35","12","91","9","23","21","11","5","43","18","16","110","134","1","9","13","30","25","31","122","26","25","14","17","19","19","16","44","15","11","11","115","16","170","26","20","43","29","24","35","63","265","28","58","20","510","76","26","25","67","125","0","1135","0","0","0","50","55","80","145","5"
"82","Moderate Farmers/Nov-12","22","30","19","9","26","51","31","25","35","65","22","26","20","22","16","52","14","16","27","32","30","15","39","14","11","3","5","19","24","9","33","10","25","29","12","2","22","23","18","37","44","4","22","11","29","14","29","45","22","23","11","14","19","14","20","33","17","13","8","41","22","48","16","29","33","31","28","52","61","89","20","38","9","133","94","32","6","61","76","0","0","715","0","0","27","33","12","10","5"
"83","Moderate Miscellanea/Nov-12","9","25","11","2","18","34","15","15","30","36","7","21","12","24","10","22","11","8","11","14","13","11","27","5","7","1","2","9","14","13","28","1","8","11","8","3","28","11","7","18","33","2","15","5","17","7","11","26","6","21","14","1","8","10","16","22","3","0","1","31","5","34","17","20","24","17","7","41","38","65","25","35","8","131","39","44","13","65","110","0","0","0","722","0","47","29","42","22","5"
"84","Forum /Nov-12","4","5","1","7","10","11","6","4","5","12","20","6","1","5","2","11","5","14","9","3","4","2","13","3","11","4","7","6","5","3","9","7","3","5","3","4","7","2","9","16","13","8","2","1","8","12","3","11","2","7","2","2","18","4","5","7","0","3","14","16","3","28","3","5","10","5","3","6","8","19","5","5","17","30","3","3","25","6","11","0","0","0","0","100","5","10","5","14","14"
"85","Casual/Dec-12","10","5","15","3","18","21","7","8","23","31","6","22","8","23","12","17","7","9","9","9","20","14","17","8","5","2","3","9","16","13","14","5","7","10","9","1","23","11","9","21","25","6","17","12","14","6","12","19","9","17","11","7","9","9","16","14","7","6","7","22","7","33","14","14","12","11","7","17","19","28","14","15","4","43","24","13","4","30","36","57","50","27","47","5","355","0","0","0","0"
"86","Moderate Farmers/Dec-12","12","15","7","2","6","13","7","7","9","31","5","17","6","10","7","21","7","7","10","14","8","6","24","5","2","3","1","12","10","5","24","5","9","10","6","1","11","8","6","24","23","5","13","5","8","7","5","20","9","8","5","5","9","7","6","11","3","3","6","24","2","22","3","10","9","10","10","16","31","32","5","10","2","42","24","10","4","16","20","25","55","33","29","10","0","212","0","0","0"
"87","Moderate Miscellanea/Dec-12","1","4","4","1","10","19","7","6","14","22","6","8","8","8","3","17","3","6","6","11","10","2","18","2","2","0","0","6","18","2","19","1","4","3","5","1","13","5","4","22","27","2","5","3","10","6","3","25","3","9","3","2","8","4","3","15","2","4","3","16","6","22","7","6","6","12","2","10","15","31","7","6","5","44","8","4","5","11","31","14","80","12","42","5","0","0","189","0","0"
"88","Hardcore/Dec-12","10","11","8","6","8","32","9","9","18","37","19","4","7","15","8","38","10","13","5","9","16","4","39","5","10","2","3","9","10","5","40","4","10","3","3","3","16","3","10","42","53","1","4","2","12","10","8","47","8","3","5","4","13","3","3","13","7","4","7","44","5","51","6","6","10","12","11","8","11","65","8","8","8","84","13","9","8","11","21","12","145","10","22","14","0","0","0","231","0"
"89","Forum/Dec-12","1","2","2","3","2","6","1","4","2","6","7","2","2","1","2","4","3","4","2","0","1","2","3","3","1","3","1","2","1","1","3","2","1","3","2","2","2","0","5","1","2","1","1","2","3","10","1","6","0","2","4","1","6","0","1","2","0","1","6","9","1","13","3","3","3","2","1","2","4","6","1","7","8","10","4","1","7","3","3","0","5","5","5","14","0","0","0","0","41"
